ID,Cropping,Denoising,PostResizeSharpening,JPEG,code
81,512,26,0.176,85.0,crop=512_denoising=26_sharpening=0.176
82,512,26,0.341,85.0,crop=512_denoising=26_sharpening=0.341
83,512,26,0.507,85.0,crop=512_denoising=26_sharpening=0.507
84,512,26,0.672,85.0,crop=512_denoising=26_sharpening=0.672
85,512,26,0.838,85.0,crop=512_denoising=26_sharpening=0.838
86,512,26,1.003,85.0,crop=512_denoising=26_sharpening=1.003
87,512,26,1.169,85.0,crop=512_denoising=26_sharpening=1.169
88,512,26,1.334,85.0,crop=512_denoising=26_sharpening=1.334
89,512,26,1.5,85.0,crop=512_denoising=26_sharpening=1.5
90,512,30,0.01,85.0,crop=512_denoising=30_sharpening=0.01
91,512,30,0.176,85.0,crop=512_denoising=30_sharpening=0.176
92,512,30,0.341,85.0,crop=512_denoising=30_sharpening=0.341
93,512,30,0.507,85.0,crop=512_denoising=30_sharpening=0.507
94,512,30,0.672,85.0,crop=512_denoising=30_sharpening=0.672
95,512,30,0.838,85.0,crop=512_denoising=30_sharpening=0.838
96,512,30,1.003,85.0,crop=512_denoising=30_sharpening=1.003
97,512,30,1.169,85.0,crop=512_denoising=30_sharpening=1.169
98,512,30,1.334,85.0,crop=512_denoising=30_sharpening=1.334
99,512,30,1.5,85.0,crop=512_denoising=30_sharpening=1.5
100,558,1,0.01,85.0,crop=558_denoising=1_sharpening=0.01
101,558,1,0.176,85.0,crop=558_denoising=1_sharpening=0.176
102,558,1,0.341,85.0,crop=558_denoising=1_sharpening=0.341
103,558,1,0.507,85.0,crop=558_denoising=1_sharpening=0.507
104,558,1,0.672,85.0,crop=558_denoising=1_sharpening=0.672
105,558,1,0.838,85.0,crop=558_denoising=1_sharpening=0.838
106,558,1,1.003,85.0,crop=558_denoising=1_sharpening=1.003
107,558,1,1.169,85.0,crop=558_denoising=1_sharpening=1.169
108,558,1,1.334,85.0,crop=558_denoising=1_sharpening=1.334
109,558,1,1.5,85.0,crop=558_denoising=1_sharpening=1.5
110,558,4,0.01,85.0,crop=558_denoising=4_sharpening=0.01
111,558,4,0.176,85.0,crop=558_denoising=4_sharpening=0.176
112,558,4,0.341,85.0,crop=558_denoising=4_sharpening=0.341
113,558,4,0.507,85.0,crop=558_denoising=4_sharpening=0.507
114,558,4,0.672,85.0,crop=558_denoising=4_sharpening=0.672
115,558,4,0.838,85.0,crop=558_denoising=4_sharpening=0.838
116,558,4,1.003,85.0,crop=558_denoising=4_sharpening=1.003
117,558,4,1.169,85.0,crop=558_denoising=4_sharpening=1.169
118,558,4,1.334,85.0,crop=558_denoising=4_sharpening=1.334
119,558,4,1.5,85.0,crop=558_denoising=4_sharpening=1.5
120,558,7,0.01,85.0,crop=558_denoising=7_sharpening=0.01
121,558,7,0.176,85.0,crop=558_denoising=7_sharpening=0.176
122,558,7,0.341,85.0,crop=558_denoising=7_sharpening=0.341
123,558,7,0.507,85.0,crop=558_denoising=7_sharpening=0.507
124,558,7,0.672,85.0,crop=558_denoising=7_sharpening=0.672
125,558,7,0.838,85.0,crop=558_denoising=7_sharpening=0.838
126,558,7,1.003,85.0,crop=558_denoising=7_sharpening=1.003
127,558,7,1.169,85.0,crop=558_denoising=7_sharpening=1.169
128,558,7,1.334,85.0,crop=558_denoising=7_sharpening=1.334
129,558,7,1.5,85.0,crop=558_denoising=7_sharpening=1.5
130,558,10,0.01,85.0,crop=558_denoising=10_sharpening=0.01
131,558,10,0.176,85.0,crop=558_denoising=10_sharpening=0.176
132,558,10,0.341,85.0,crop=558_denoising=10_sharpening=0.341
133,558,10,0.507,85.0,crop=558_denoising=10_sharpening=0.507
134,558,10,0.672,85.0,crop=558_denoising=10_sharpening=0.672
135,558,10,0.838,85.0,crop=558_denoising=10_sharpening=0.838
